BarnName,Index,DHIID,RFID,AgeMons_Ref,HfrMerit$,DateDue,SireCode,MGSCode,DamName,DamPTAM,DamPTAF,DamPTAP,DamMerit$,SireMerit$
8087 ,8087,47VEB6530,,12,+64,,HB,29HO10124,6224,-213,+1,+1,+127,
8034 ,8034,47VEB6469,,12,+63,,1HO7832,9HO2704,2272,-841,+15,-10,+12,+114
7885 ,7885,47VEB6052,,14,+61,,200HO5156,,2095,,,,,+121
8449 ,8449,47VFF1027,,6,+61,,751HO9554,1HO9226,6692,+117,-1,+18,+122,
7910 ,7910,47VEB6029,,14,+57,,1HO7832,,3903,,,,,+114
8111 ,8111,47VEB6592,,11,+57,,HB,29HO10818,6429,-194,-11,-1,+114,
8323 ,8323,47VEB6879,,8,+57,,1HO7832,,4415,,,,,+114
8534 ,8534,47VFF1147,,5,+57,,751HO9554,14HO3597,6807,-76,-8,-9,+113,
8129 ,8129,47VEB6570,,11,+56,,HB,1HO9097,6535,+56,+6,+0,+111,
7087 ,7087,47VCP2048,,25,+54,3-17,1HO7840,,4436,,,,,+107
7176 ,7176,47VCP2245,,24,+54,3-01,1HO7840,,4492,,,,,+107
7197 ,7197,47VCP2199,,24,+54,3-01,1HO7840,,4520,,,,,+107
7473 ,7473,47VCP2581,,20,+53,7-01,501HO8328,1HO6721,6105,-923,-43,-30,-182,+288
8234 ,8234,000000000,,10,+53,,1HO7832,11HO4662,2329,+330,-3,+15,-8,+114
7733 ,7733,000000000,,17,+52,8-19,501HO6845,7HO8975,6153,-1131,+5,-32,-238,+342
7892 ,7892,47VEB6095,,14,+52,,HB,3HO5897,6094,+986,+28,+26,+104,
8030 ,8030,47VEB6480,,12,+51,,HB,11HO7741,6401,+341,+14,+11,+102,
7953 ,7953,47VEB6400,,13,+50,,HB,1HO8974,6315,-86,+11,+0,+99,
8201 ,8201,000000000,,10,+50,,HB,1HO6721,6560,-21,-6,-10,+100,
8249 ,8249,000000000,,9,+50,,HB,507HO6168,6426,+204,-5,+7,+99,
7483 ,7483,47VCP2595,,20,+46,7-11,1HO9667,29HO9429,2072,-922,-19,-20,-147,+239
7938 ,7938,47VEB6354,,14,+45,,JERSEYS,507HO6838,6394,+819,+15,+16,+89,
7430 ,7430,47VCP2388,,21,+43,6-02,1HO6782,507HO6695,5933,+969,+57,+26,+280,-194
8291 ,8291,000000000,,9,+43,,,1HO7235,6621,+60,+10,+6,+85,
7328 ,7328,47VCP2365,,22,+39,4-01,1HO6487,1HO5588,2600,-59,-32,-13,-122,+200
8666 ,8666,000000000,,3,+32,,1HO6776,1HO7886,2913,-1348,-8,-32,-154,+218
7495 ,7495,47VCP2652,,20,+31,6-03,507HO7466,1HO9007,6044,-577,-3,-15,-185,+247
7464 ,7464,47VCP2596,,20,+30,5-27,,1HO8855,6046,-641,-7,-10,+59,
7924G ,7924,47VEB6404,,14,+30,,HB,1HO5663,6293,+153,-6,-1,+60,
7964 ,7964,47VEB6342,,13,+28,,1HO2585,1HO5588,5673,-469,-38,-22,-170,+225
8428 ,8428,47VEB6970,,7,+25,,1HO9656,14HO3801,6693,-181,-7,-3,+49,
7189 ,7189,47VCP2275,,24,+17,2-06,1HO5963,,2144,,,,,+33
7426 ,7426,47VCP2656,,21,+17,4-30,1HO5963,,4560,,,,,+33
7453 ,7453,47VCP2601,,20,+15,6-09,1HO7127,11HO4338,6040,-847,-40,-21,-424,+453
7921 ,7921,47VEB6365,,14,+12,,HB,1HO8981,6324,-185,+0,-2,+23,
8177 ,8177,47VEB6605,,10,+10,,1HO7832,122HO7,4266,-667,-23,-11,-94,+114
8017 ,8017,47VEB6352,,13,+7,,HB,1HO9072,6280,-194,-13,-3,+14,
8233 ,8233,000000000,,10,+6,,1HO8430,122HO1375,4293,-483,-49,-20,-341,+353
8115 ,8115,47VEB6528,,11,-5,,4HO2605,7HO6695,5745,-571,+11,-16,-9,
7968 ,7968,47VEB6411,,13,-14,,1HO6812,,4565,,,,,-27
7963 ,7963,47VEB6406,,13,-17,,HB,1HO9121,6304,-59,-16,-8,-34,
8817 ,8817,000000000,,1,-18,,HB,1HO5702,2718,-201,+22,-15,-36,
8502 ,8502,47VFF1170,,6,-27,,HB,1HO6721,6676,-856,-26,-27,-54,
8573 ,8573,000000000,,5,-33,,,507HO6838,6891,-336,-12,-11,-65,
8626 ,8626,000000000,,4,-34,,1HO2980,1HO6833,6253,+320,+28,-1,+229,-296
8800 ,8800,000000000,,1,-41,,HB,1HO8912,6025,-63,-17,-2,-82,
7890 ,7890,47VEB6078,,14,-77,,1HO7287,1HO7886,2913,-1348,-8,-32,-154,
8167 ,8167,000000000,,10,-82,,1HO2506,,5781,,,,,-163
8749 ,8749,000000000,,2,-121,,1HO2383,1HO6827,7018,,,,,-241
7433 ,7433,47VCP2598,,21,-128,5-07,1HO7336,9HO1792,1339,-2084,-51,-57,-445,+190
7471 ,7471,47VCP2623,,20,,6-08,501HO7466,14HO3831,5978,,,,,
7880 ,7880,47VEB6083,,14,,,HB,507HO7379,6135,,,,,
7904G ,7904,47VEB6412,,14,,,HB,507HO6838,6167,,,,,
7940 ,7940,47VEB6338,,14,,,HB,507HO6695,6174,,,,,
8080 ,8080,47VEB6466,,12,,,14HO8772,,5822,,,,,
8100 ,8100,47VEB6509,,11,,,501HO8165,,6459,,,,,
8113 ,8113,47VEB6585,,11,,,HB,HOLSTEIN,6455,,,,,
8240 ,8240,47VEB6893,,9,,,751HO9554,HB,6538,,,,,
8293 ,8293,000000000,,9,,,,BULL,6053,,,,,
8379 ,8379,47VEB6885,,7,,,HB,1HO6721,6589,,,,,
8526G ,8526,47VFF1149,,5,,,HB,HB,6706,,,,,
8531G ,8531,47VFF1133,,5,,,HB,,6751,,,,,
8604 ,8604,000000000,,4,,,HB,501HO7290,6811,,,,,
8629 ,8629,000000000,,4,,,HB,507HO7466,6772,,,,,
8635 ,8635,000000000,,4,,,HB,1HO6833,6691,,,,,
8655 ,8655,000000000,,3,,,HB,507HO6838,6857,,,,,
8656 ,8656,000000000,,3,,,HB,1HO6721,6719,,,,,
8662 ,8662,000000000,,3,,,751HO9554,1HO6833,6899,,,,,
8676 ,8676,000000000,,3,,,751HO9554,501HO6987,6941,,,,,
